Advertising, 0.017769960996547703%, 10000000
Agriculture, 0.016348364116823888%, 9200000
Architecture, 0.017769960996547703%, 10000000
Aviation, 0.009240379718204806%, 5200000
Banking, 0.007072444476625986%, 
Investment banking, 0.0012261273087617916%, 690000
Online banking, 0.00479788946906788%, 2700000
Retail banking, 0.0010484276987963144%, 590000
Business, 0.06930284788653604%, 39000000
Construction, 0.017769960996547703%, 10000000
Design, 0.034118325113371595%, 
Fashion design, 0.007107984398619082%, 4000000
Graphic design, 0.009951178158066714%, 5600000
Interior design, 0.017059162556685797%, 9600000
Economics, 0.012083573477652439%, 6800000
Engineering, 0.013860569577307209%, 7800000
Entrepreneurship, 0.01617066450685841%, 9100000
Healthcare, 0.010484276987963144%, 5900000
Higher education, 0.03553992199309541%, 20000000
Management, 0.014926767237100073%, 8400000
Marketing, 0.028431937594476327%, 16000000
Nursing, 0.008351881668377421%, 4700000
Online, 0.03031377646401073%, 
Digital marketing, 0.003198592979378587%, 1800000
Display advertising, 3.376292589344063e-05%, 19000
Email marketing, 0.0003731691809275018%, 210000
Online advertising, 0.0026654941494821554%, 1500000
Search engine optimisation, 0.0006041786738826219%, 340000
Social media, 0.021323953195857243%, 12000000
Social media marketing, 0.00030208933694131097%, 170000
Web design, 0.0006930284788653604%, 390000
Web development, 0.0006219486348791696%, 350000
Web hosting, 0.0004975589079033357%, 280000
Personal finance, 0.0742784369655694%, 
Credit cards, 0.03376292589344063%, 19000000
Insurance, 0.01741456177661675%, 9800000
Investment, 0.019546957096202473%, 11000000
Mortgage loans, 0.003553992199309541%, 2000000
Property, 0.019546957096202473%, 11000000
Retail, 0.021323953195857243%, 12000000
Sales, 0.046201898591024027%, 26000000
Science, 0.03376292589344063%, 19000000
Small business, 0.0012972071527479823%, 730000
Films, 0.20755314443967718%, 
Action films, 0.026654941494821553%, 15000000
Animated films, 0.021323953195857243%, 12000000
Anime films, 0.021323953195857243%, 12000000
Bollywood films, 0.005330988298964311%, 3000000
Comedy films, 0.03198592979378587%, 18000000
Documentary films, 0.011017375817859576%, 6200000
Drama films, 0.007463383618550036%, 4200000
Fantasy films, 0.015459866066996501%, 8700000
Horror films, 0.016881462946720317%, 9500000
Musical theatre, 0.016348364116823888%, 9200000
Science fiction films, 0.012438972697583392%, 7000000
Thriller films, 0.021323953195857243%, 12000000
Games, 0.188112807109454%, 
Action games, 0.005864087128860742%, 3300000
Board games, 0.0014571368017169118%, 820000
Browser games, 0.0010484276987963144%, 590000
Card games, 0.004975589079033357%, 2800000
Casino games, 0.00035539921993095404%, 200000
First-person shooter games, 0.028431937594476327%, 16000000
Gambling, 0.021323953195857243%, 12000000
Massively multiplayer online games, 0.0012261273087617916%, 690000
Massively multiplayer online role-playing games, 0.0023100949295512016%, 1300000
Online games, 0.017769960996547703%, 10000000
Online poker, 0.0019546957096202473%, 1100000
Puzzle video games, 0.007996482448446467%, 4500000
Racing games, 0.00479788946906788%, 2700000
Role-playing games, 0.004264790639171449%, 2400000
Shooter games, 0.003553992199309541%, 2000000
Simulation games, 0.004264790639171449%, 2400000
Sports games, 0.006219486348791696%, 3500000
Strategy games, 0.0009951178158066714%, 560000
Video games, 0.06752585178688127%, 38000000
Word games, 0.0017769960996547704%, 1000000
Live events, 0.1446474825118983%, 
Ballet, 0.006397185958757174%, 3600000
Bars, 0.021323953195857243%, 12000000
Concerts, 0.024877945395166783%, 14000000
Dancehalls, 0.005686387518895265%, 3200000
Music festivals, 0.012438972697583392%, 7000000
Nightclubs, 0.015992964896892933%, 9000000
Parties, 0.019546957096202473%, 11000000
Plays, 0.013505170357376256%, 7600000
Theatre, 0.024877945395166783%, 14000000
Music, 0.36943748911822677%, 
Blues music, 0.019546957096202473%, 11000000
Classical music, 0.014749067627134594%, 8300000
Country music, 0.009240379718204806%, 5200000
Dance music, 0.011195075427825054%, 6300000
Electronic music, 0.03376292589344063%, 19000000
Gospel music, 0.008884980498273852%, 5000000
Heavy metal music, 0.023100949295512013%, 13000000
Hip hop music, 0.03553992199309541%, 20000000
Jazz music, 0.01439366840720364%, 8100000
Music videos, 0.049755890790333566%, 28000000
Pop music, 0.053309882989643106%, 30000000
Rhythm and blues music, 0.026654941494821553%, 15000000
Rock music, 0.0479788946906788%, 27000000
Soul music, 0.021323953195857243%, 12000000
Reading, 0.20290096865078097%, 
Books, 0.04442490249136926%, 25000000
Comics, 0.011550474647756007%, 6500000
Fiction books, 0.014038269187272684%, 7900000
Literature, 0.024877945395166783%, 14000000
Magazines, 0.030208933694131097%, 17000000
Manga, 0.013327470747410777%, 7500000
Mystery fiction, 0.007107984398619082%, 4000000
Newspapers, 0.03909391419240495%, 22000000
Non-fiction books, 0.00014571368017169117%, 82000
Romance novels, 0.004975589079033357%, 2800000
eBooks, 0.0131497711374453%, 7400000
Television programme, 2.8333101071413527%, 
TV chat shows, 0.0026654941494821554%, 1500000
TV comedies, 0.0030208933694131097%, 1700000
TV game shows, 0.00781878283848099%, 4400000
TV reality shows, 0.023100949295512013%, 13000000
Dating, 0.019546957096202473%, 11000000
Family, 0.0835188166837742%, 47000000
Fatherhood, 0.024877945395166783%, 14000000
Friendship, 0.06930284788653604%, 39000000
Marriage, 0.007463383618550036%, 4200000
Motherhood, 0.03909391419240495%, 22000000
Parenting, 0.0024877945395166785%, 1400000
Weddings, 0.013682869967341731%, 7700000
Bodybuilding, 0.004442490249136926%, 2500000
Meditation, 0.01723686216665127%, 9700000
Physical exercise, 0.030208933694131097%, 17000000
Physical fitness, 0.026654941494821553%, 15000000
Running, 0.007463383618550036%, 4200000
Weight training, 0.004264790639171449%, 2400000
Yoga, 0.011905873867686961%, 6700000
Alcoholic drink, 0.06930284788653604%, 
Beer, 0.03376292589344063%, 19000000
Distilled drinks, 0.017769960996547703%, 10000000
Wine, 0.017769960996547703%, 10000000
Cooking, 0.03607302082299184%, 
Baking, 0.009418079328170282%, 5300000
Recipes, 0.026654941494821553%, 15000000
Cuisine, 0.042594596508724845%, 
Chinese cuisine, 0.0030208933694131097%, 1700000
French Cuisine, 0.0023100949295512016%, 1300000
German cuisine, 0.00042647906391714486%, 240000
Greek cuisine, 0.00030208933694131097%, 170000
Indian cuisine, 0.001012887776803219%, 570000
Italian cuisine, 0.0023100949295512016%, 1300000
Japanese cuisine, 0.007641083228515512%, 4300000
Korean cuisine, 0.0030208933694131097%, 1700000
Latin American cuisine, 0.003909391419240495%, 2200000
Mexican Cuisine, 0.016703763336754843%, 9400000
Middle Eastern cuisine, 0.0004620189859102403%, 260000
Spanish cuisine, 0.0006930284788653604%, 390000
Thai cuisine, 0.0003731691809275018%, 210000
Vietnamese cuisine, 0.00040870910292059717%, 230000
Drinks, 0.09187069835215163%, 
Coffee, 0.03376292589344063%, 19000000
Energy drinks, 0.0051532886889988335%, 2900000
Juice, 0.010484276987963144%, 5900000
Soft drinks, 0.017592261386582226%, 9900000
Tea, 0.024877945395166783%, 14000000
Food, 0.12900991683493634%, 
Barbecue, 0.012616672307548869%, 7100000
Chocolate, 0.026654941494821553%, 15000000
Desserts, 0.028431937594476327%, 16000000
Fast food, 0.010661976597928622%, 6000000
Organic food, 0.004975589079033357%, 2800000
Pizza, 0.021323953195857243%, 12000000
Seafood, 0.012261273087617916%, 6900000
Veganism, 0.007285684008584558%, 4100000
Vegetarianism, 0.00479788946906788%, 2700000
Restaurants, 2.065701101973482%, 
Coffeehouses, 0.019546957096202473%, 11000000
Diners, 0.0024877945395166785%, 1400000
Fast casual restaurants, 0.0010484276987963144%, 590000
Fast food restaurants, 0.0016348364116823887%, 920000
Arts and music, 0.23811747735373923%, 
Acting, 0.006930284788653604%, 3900000
Crafts, 0.010128877768032191%, 5700000
Dance, 0.04442490249136926%, 25000000
Drawing, 0.008174182058411944%, 4600000
Drums, 0.003909391419240495%, 2200000
Fine art, 0.0028431937594476323%, 1600000
Guitar, 0.005686387518895265%, 3200000
Painting, 0.017769960996547703%, 10000000
Performing arts, 0.021323953195857243%, 12000000
Photography, 0.06041786738826219%, 34000000
Sculpture, 0.006752585178688128%, 3800000
Singing, 0.019546957096202473%, 11000000
Writing, 0.030208933694131097%, 17000000
Current events, 0.04087091029205972%, 23000000
Home and garden, 0.06876974905663961%, 
DIY, 0.0023100949295512016%, 1300000
Do it yourself (DIY), 0.010306577377997667%, 5800000
Furniture, 0.024877945395166783%, 14000000
Gardening, 0.026654941494821553%, 15000000
Home appliances, 0.004620189859102403%, 2600000
Pets, 0.10306577377997668%, 
Birds, 0.015992964896892933%, 9000000
Cats, 0.023100949295512013%, 13000000
Dogs, 0.030208933694131097%, 17000000
Fish, 0.011017375817859576%, 6200000
Horses, 0.012972071527479824%, 7300000
Pet food, 0.000657488556872265%, 370000
Rabbits, 0.007463383618550036%, 4200000
Reptiles, 0.0016526063726789364%, 930000
Politics and social issues, 0.1330970078641423%, 
Charity and causes, 0.0014571368017169118%, 820000
Community issues, 0.019546957096202473%, 11000000
Environmentalism, 0.0021323953195857247%, 1200000
Law, 0.030208933694131097%, 17000000
Military, 0.0131497711374453%, 7400000
Politics, 0.023100949295512013%, 13000000
Religion, 0.03553992199309541%, 20000000
Sustainability, 0.005330988298964311%, 3000000
Veterans, 0.00031985929793785866%, 180000
Volunteering, 0.0023100949295512016%, 1300000
Travel, 0.23012099490529275%, 
Adventure travel, 0.006219486348791696%, 3500000
Air travel, 0.014926767237100073%, 8400000
Beaches, 0.024877945395166783%, 14000000
Car rentals, 0.005686387518895265%, 3200000
Cruises, 0.005686387518895265%, 3200000
Ecotourism, 0.008351881668377421%, 4700000
Holidays, 0.021323953195857243%, 12000000
Hotels, 0.028431937594476327%, 16000000
Lakes, 0.008884980498273852%, 5000000
Mountains, 0.013505170357376256%, 7600000
Nature, 0.04264790639171449%, 24000000
Theme parks, 0.008707280888308374%, 4900000
Tourism, 0.04087091029205972%, 23000000
Vehicles, 1.2269411729754334%, 
4x4s, 0.006397185958757174%, 3600000
Automobiles, 0.05864087128860743%, 33000000
Boats, 0.003909391419240495%, 2200000
Electric vehicles, 0.0017769960996547704%, 1000000
Hybrids, 0.0017059162556685794%, 960000
Lorries, 0.012438972697583392%, 7000000
Motorcycles, 0.012794371917514348%, 7200000
Motorhomes, 0.00030208933694131097%, 170000
People carriers, 0.0010661976597928623%, 600000
Scooters, 0.000959577893813576%, 540000
Beauty, 0.15690875559951623%, 
Beauty salons, 0.026654941494821553%, 15000000
Cosmetics, 0.046201898591024027%, 26000000
Fragrances, 0.011195075427825054%, 6300000
Hair products, 0.024877945395166783%, 14000000
Spas, 0.023100949295512013%, 13000000
Tattoos, 0.024877945395166783%, 14000000
Clothing, 0.09329229523187545%, 
Children's clothing, 0.003198592979378587%, 1800000
Men's clothing, 0.01723686216665127%, 9700000
Shoes, 0.046201898591024027%, 26000000
Women's clothing, 0.026654941494821553%, 15000000
Fashion accessories, 0.07392303774563845%, 
Dresses, 0.023100949295512013%, 13000000
Handbags, 0.012438972697583392%, 7000000
Jewellery, 0.028431937594476327%, 16000000
Sunglasses, 0.009951178158066714%, 5600000
Shopping, 0.16561603648782458%, 
Boutiques, 0.026654941494821553%, 15000000
Coupons, 0.026654941494821553%, 15000000
Discount shops, 0.00781878283848099%, 4400000
Luxury goods, 0.023100949295512013%, 13000000
Online shopping, 0.06752585178688127%, 38000000
Shopping centres, 0.013860569577307209%, 7800000
Toys, 0.017769960996547703%, 10000000
Outdoor recreation, 0.03427825476234052%, 
Boating, 0.0006930284788653604%, 390000
Camping, 0.006752585178688128%, 3800000
Fishing, 0.005508687908929788%, 3100000
Horseback riding, 0.004620189859102403%, 2600000
Hunting, 0.00657488556872265%, 3700000
Mountain biking, 0.0021323953195857247%, 1200000
Surfing, 0.007996482448446467%, 4500000
Sports, 0.5851612616241165%, 
American football, 0.017769960996547703%, 10000000
Baseball, 0.04087091029205972%, 23000000
Basketball, 0.03909391419240495%, 22000000
Car racing, 0.01137277503779053%, 6400000
College football, 0.006752585178688128%, 3800000
Football, 0.08884980498273852%, 50000000
Golf, 0.006752585178688128%, 3800000
Marathons, 0.005330988298964311%, 3000000
Skiing, 0.003376292589344064%, 1900000
Snowboarding, 0.003376292589344064%, 1900000
Swimming, 0.00781878283848099%, 4400000
Tennis, 0.024877945395166783%, 14000000
Triathlons, 0.0010484276987963144%, 590000
Volleyball, 0.016703763336754843%, 9400000
Computers, 0.11161312501931614%, 
Computer memory, 0.0004620189859102403%, 260000
Computer monitors, 0.004975589079033357%, 2800000
Computer processors, 0.00479788946906788%, 2700000
Computer servers, 0.003909391419240495%, 2200000
Desktop computers, 0.0051532886889988335%, 2900000
Free software, 0.028431937594476327%, 16000000
Hard drives, 0.0024877945395166785%, 1400000
Network storage, 0.0002665494149482156%, 150000
Software, 0.0479788946906788%, 27000000
Tablet computers, 0.0131497711374453%, 7400000
Consumer electronics, 0.1995531079990314%, 
Audio equipment, 0.0003731691809275018%, 210000
Camcorders, 0.0005153288688998834%, 290000
Cameras, 0.017769960996547703%, 10000000
GPS devices, 0.0005864087128860742%, 330000
Game consoles, 0.021323953195857243%, 12000000
Mobile phones, 0.05686387518895265%, 32000000
Portable media players, 0.0003376292589344064%, 190000
Projectors, 0.0001741456177661675%, 98000
Smartphones, 0.03198592979378587%, 18000000
Televisions, 0.06930284788653604%, 39000000
eBook readers, 0.00031985929793785866%, 180000